"address","parcel_id","latitude","longitude"
"10 PERKINS AVE, Albany, NY, 12203","63.36-2-25",42.673103850000004,-73.82806965
"352 STATE ST, Albany, NY, 12210","65.80-3-55.-32",42.6556633,-73.764572
"352 STATE ST, Albany, NY, 12210","65.80-3-55.-42",42.6556633,-73.764572
"40 WESTERLO ST, Albany, NY, 12202","76.58-1-26.-13",42.6434362,-73.7531261
"352 STATE ST, Albany, NY, 12210","65.80-3-55.-12",42.6556633,-73.764572
"62 WESTERLO ST, Albany, NY, 12202","76.58-1-46.-34",42.6438629,-73.7544807
"343 LIVINGSTON AVE, Albany, NY, 12206","65.57-1-54",42.664831050000004,-73.76026780000001
"310 DELAWARE AVE, Albany, NY","76.54-4-28",42.64263285,-73.77738865
"21 MORRIS ST, Albany, NY, 12208","76.31-1-24",42.6516146,-73.7690786
"454 ELK ST, Albany, NY, 12206","65.54-5-2",42.66604615,-73.77209220663283
"51 WESTERLO ST, Albany, NY, 12202","76.58-2-5.-17",42.64348765,-73.75416911960832
"32 LIEBEL ST, Albany, NY, 12202","76.71-3-57",42.63810185,-73.7665414
"116 KENOSHA ST, Albany, NY, 12209","75.84-1-48",42.635340049999996,-73.78450694355399
"155 THIRD AVE, Albany, NY, 12202","76.56-4-49",42.6416728,-73.76493687667241
"19 KENOSHA ST, Albany, NY, 12209","76.77-2-50",42.6348477,-73.77891384331446
"56 WESTERLO ST, Albany, NY, 12202","76.58-1-43.-24",42.6438065,-73.7542592
"52 S SWAN ST, Albany, NY, 12210","76.25-2-19.-5200",42.6551145,-73.7583372
"51 WESTERLO ST, Albany, NY, 12202","76.58-2-5.-18",42.64348765,-73.75416911960832
"118 BERKSHIRE BLVD, Albany, NY, 12203","64.47-1-36",42.667890850000006,-73.81377885
"148 LANCASTER ST, Albany, NY, 12210","76.24-6-65.-2",42.65315459999999,-73.76282026304168
"482 FIRST ST, Albany, NY, 12206","65.47-3-48",42.666872749999996,-73.77017355000001
"3 AVON ST, Albany, NY, 12203","64.29-1-66",42.67272405,-73.82697935585256
"2 ELMENDORF ST, Albany, NY, 12202","76.80-1-37",42.6351824,-73.7656722078634
"5 ADIRONDACK ST, Albany, NY, 12203","64.30-2-45",42.67236375,-73.81687479865963
"391 WHITEHALL RD, Albany, NY, 12208","75.32-2-62",42.6509209,-73.81054605057594
"208 BERKSHIRE BLVD, Albany, NY, 12203","64.38-4-2",42.67083715,-73.81774328975378
"38 LIEBEL ST, Albany, NY, 12202","76.71-3-55",42.63809705,-73.76683785
"8 LIEBEL ST, Albany, NY, 12202","76.72-4-55",42.6378946,-73.7655131
"21 GARDEN ST, Albany, NY, 12209","76.54-5-5",42.641736949999995,-73.77436952418233
"39 MC KINLEY ST, Albany, NY, 12206","64.36-1-31",42.67406595,-73.78724679999999
"37 ORLANDO AVE, Albany, NY, 12203","64.39-1-57",42.67063105,-73.81238965
"148 LANCASTER ST, Albany, NY, 12210","76.24-6-65.-5",42.65315459999999,-73.76282026304168
"47 KEELER DR, Albany, NY, 12208","75.32-1-81",42.65079045,-73.80489300801
"333 WHITEHALL RD, Albany, NY, 12208","75.40-1-16",42.649246000000005,-73.8060074460397
"12 CRESTWOOD CT, Albany, NY, 12208","75.32-1-41",42.651370650000004,-73.80640094097335
"9 ARTHUR DR, Albany, NY, 12208","75.32-1-84",42.6526458,-73.80592720135556
"24 JASE CT, Albany, NY, 12208","75.33-2-18",42.65154055,-73.80487950013654
"20 ARTHUR DR, Albany, NY, 12208","75.32-1-64",42.65214465,-73.80518075
"17 KEELER DR, Albany, NY, 12208","75.32-1-48",42.6505101,-73.8069306706223
"22 KEELER DR, Albany, NY, 12208","75.40-1-35",42.65007315,-73.80696199017794
"60 KEELER DR, Albany, NY, 12208","75.33-2-36",42.6511723,-73.80385865
"19 ARTHUR DR, Albany, NY, 12208","75.33-2-12",42.6524638,-73.80489670631607
"433 MAGAZINE ST, Albany, NY, 12203","64.29-3-33",42.6725335,-73.82409818550043
"9 SLINGERLAND ST, Albany, NY, 12202","76.63-1-28",42.63986155,-73.77139762483023
"56 KEELER DR, Albany, NY, 12208","75.33-2-38",42.6509755,-73.8040785
"241 CATHERINE ST, Albany, NY, 12209","76.55-1-23",42.64452044391165,-73.76959336636301
"60 WESTERLO ST, Albany, NY, 12202","76.58-1-45.-29",42.6438309,-73.7544356
"326G CORTLAND ST - CORTLAND ST, Albany, NY, 12208","64.74-3-9",42.6607987,-73.7964851
"31 HILLCREST AVE, Albany, NY, 12203","64.39-1-14",42.67152985,-73.8142507
"387 WHITEHALL RD, Albany, NY, 12208","75.32-2-60",42.6507737,-73.81020515
"14 GARDEN AVE, Albany, NY, 12203","64.29-1-58",42.6729553,-73.8267848
"18 CLAYTON PL, Albany, NY, 12209","75.51-1-50",42.645291799999995,-73.79281827666667
"462 THIRD ST, Albany, NY, 12206","65.47-1-9",42.66899695,-73.77009806542614
"405 WHITEHALL RD, Albany, NY, 12208","75.31-1-40",42.65134085,-73.81177920628943
"22 LAWN AVE, Albany, NY, 12204","66.21-2-29",42.67543355,-73.73769279999999
"39 KEELER DR, Albany, NY, 12208","75.32-1-77",42.650356099999996,-73.80539372844876
"7 JASE CT, Albany, NY, 12208","75.32-1-54",42.6509377,-73.80608983127627
"399 WHITEHALL RD, Albany, NY, 12208","75.31-1-43",42.65115615,-73.81125173820182
"409 MADISON AVE, Albany, NY, 12210","76.31-2-63.-203",42.6522319,-73.7669386
"20 REGENT ST, Albany, NY, 12202","76.71-1-16",42.6383294,-73.77018728179723
"11 CRAIGIE AVE, Albany, NY, 12205","53.73-1-51",42.681846050000004,-73.80068855036637
"35 EDENBURG AVE, Albany, NY, 12203","64.21-2-61",42.6751134,-73.8233545381996
"17 LILY ST, Albany, NY, 12205","53.65-1-22",42.6844933,-73.80075162842826
"80 VAN SCHOICK AVE, Albany, NY, 12208","75.33-1-38",42.65159595,-73.79977328835702
"83 KENOSHA ST, Albany, NY, 12209","76.77-1-57",42.63538345,-73.78230482146498
"2 CRESCENT DR, Albany, NY, 12208","64.78-1-8",42.6578619,-73.81626197316464
"539 THIRD ST, Albany, NY, 12206","65.38-1-49",42.6711719,-73.7732538
"38 STEPHEN ST, Albany, NY, 12202","76.72-1-43",42.638231,-73.7620486
"6 BUELL ST, Albany, NY, 12206","64.26-1-20",42.67689085,-73.79649519027778
"65 THIRD ST, Albany, NY, 12210","65.74-2-18",42.6598498,-73.75367225
"32 SLINGERLAND ST, Albany, NY, 12209","76.62-4-12",42.64049941273899,-73.77177448348385
"21 ALBION AVE, Albany, NY, 12209","75.75-1-50",42.63913985,-73.79016976410253
"25 LAWN AVE, Albany, NY, 12204","65.28-1-36",42.67606705,-73.73842706256082
"14 KEELER DR, Albany, NY, 12208","75.32-1-17",42.65031645,-73.80762328914878
"177 MILNER AVE, Albany, NY, 12208","64.63-3-7",42.66184485,-73.81301003298461
"169 HOLLYWOOD AVE, Albany, NY, 12209","75.42-1-71",42.648871549999996,-73.7973236
"10 VIEW AVE, Albany, NY, 12209","76.54-3-29",42.6441652,-73.77267033446883
"55 CARDINAL AVE, Albany, NY, 12208","75.34-1-46",42.65165505,-73.79778337758233
"399 STATE ST, Albany, NY, 12210","65.80-3-50.-306",42.65721655,-73.76599333616315
"49 GLENWOOD ST, Albany, NY, 12208","64.83-2-33",42.6567255,-73.791193243947
"306 MOUNTAIN ST, Albany, NY, 12209","76.77-2-36",42.63530645,-73.77991565650115
"290 MOUNTAIN ST, Albany, NY, 12209","76.77-2-44",42.635122949999996,-73.77860200848822
"283 MOUNTAIN ST, Albany, NY, 12209","76.77-2-17",42.635418,-73.77819032354591
"285 MOUNTAIN ST, Albany, NY, 12209","76.77-2-18",42.63544265,-73.77836464349149
"7 BOGARDUS RD, Albany, NY, 12208","64.65-1-56",42.66169325,-73.80382233809712
"292 MOUNTAIN ST, Albany, NY, 12209","76.77-2-43",42.635140199999995,-73.77886219999999
"7 FULLERTON ST, Albany, NY, 12209","75.59-3-17",42.64319355,-73.78991830000001
"299 MOUNTAIN ST, Albany, NY, 12209","76.77-2-25",42.635629550000004,-73.77938257930006
"301 MOUNTAIN ST, Albany, NY, 12209","76.77-2-26",42.63562614999999,-73.77952671488933
"291 MOUNTAIN ST, Albany, NY, 12209","76.77-2-21",42.6355171,-73.7788032
"155 SOUTHERN BLVD, Albany, NY, 12209","76.77-2-1",42.63605135,-73.78007055
"294 MOUNTAIN ST, Albany, NY, 12209","76.77-2-42",42.6351688,-73.7790218
"30 GLENDALE AVE, Albany, NY, 12208","75.36-1-20",42.65140265,-73.7880783
"421 LIVINGSTON AVE, Albany, NY, 12206","65.10-2-6",42.6681053,-73.7660834
"176 MILNER AVE, Albany, NY, 12208","64.63-2-24",42.6621109,-73.81351618932388
"186 MILNER AVE, Albany, NY, 12208","64.63-2-19",42.6615295,-73.81416641584853
"18 BUELL ST, Albany, NY, 12206","64.26-1-26",42.6773976,-73.7959568818907
"182 MILNER AVE, Albany, NY, 12208","64.63-2-21",42.661763050000005,-73.81392341610879
"443 MAGAZINE ST, Albany, NY, 12203","64.29-3-35",42.672243550000005,-73.82445952285204
"16 SWARTSON CT, Albany, NY, 12209","75.50-3-15",42.64508745,-73.79795923640724
"34 TAFT AVE, Albany, NY, 12203","64.21-2-54",42.67541575,-73.8229408
"89 ALEXANDER ST, Albany, NY, 12202","76.64-1-32",42.641102599999996,-73.7624739
"399 STATE ST, Albany, NY, 12210","65.80-3-50.-102",42.65721655,-73.76599333616315
"441 ELK ST, Albany, NY, 12206","65.55-2-52",42.66580935,-73.77134797647494
"145 BERKSHIRE BLVD, Albany, NY, 12203","64.47-1-3",42.669172849999995,-73.81511606372536
"115 FLEETWOOD AVE, Albany, NY, 12209","75.41-1-36",42.649241200000006,-73.802808560221
"1110 WESTERN AVE, Albany, NY, 12203","64.22-1-21.-2",42.6750295,-73.8194358
"195 HOLLYWOOD AVE, Albany, NY, 12209","75.42-1-58",42.6473584,-73.79824365513741
"33 RAMSEY PL, Albany, NY, 12208","75.35-1-36",42.651329149999995,-73.79304235000001
"399 STATE ST, Albany, NY, 12210","65.80-3-50.-302",42.65721655,-73.76599333616315
"399 STATE ST, Albany, NY, 12210","65.80-3-50.-402",42.65721655,-73.76599333616315
"49 ONDERDONK AVE, Albany, NY, 12208","64.74-3-33",42.65887085,-73.79856505628482
"187 MILNER AVE, Albany, NY, 12208","64.63-3-12",42.6612959,-73.8136180055547
"94 CARDINAL AVE, Albany, NY, 12209","75.41-2-45",42.64988445,-73.79999735000001
"46 TAFT AVE, Albany, NY, 12203","64.21-2-56",42.6752822,-73.82261250935954
"158 BROAD ST, Albany, NY, 12202","76.73-3-49",42.6376447,-73.76011061377326
"37 HAMPTON ST, Albany, NY, 12209","75.76-3-19",42.6373981,-73.78297265311187
"16 SARD RD, Albany, NY, 12209","75.68-2-28",42.64027955,-73.7882673
"122 THORNTON ST, Albany, NY, 12206","65.49-1-1",42.66788315,-73.75922575
"116 SOUTHERN BLVD, Albany, NY, 12209","76.77-1-5",42.6363355,-73.78191054999999
"39 MELROSE AVE, Albany, NY, 12203","64.42-1-66",42.67101205,-73.79743134351463
"13 FROST PL, Albany, NY, 12205","53.66-1-7",42.685394349999996,-73.7986659598883
"15 CRESTWOOD CT, Albany, NY, 12208","75.32-1-29",42.65172335,-73.80665470112399
"509 SECOND ST, Albany, NY, 12206","65.39-1-86",42.6690216,-73.77139093149216
"15 TREMONT ST, Albany, NY, 12205","53.66-2-8",42.684636,-73.7976171
"399 STATE ST, Albany, NY, 12210","65.80-3-50.-502",42.65721655,-73.76599333616315
"399 STATE ST, Albany, NY, 12210","65.80-3-50.-602",42.65721655,-73.76599333616315
"20 SWINTON ST, Albany, NY, 12206","65.56-5-38",42.6642561,-73.7608773585495
"316 SECOND ST, Albany, NY, 12206","65.56-3-15",42.664572199999995,-73.76438498784015
"47 JOHN DAVID LN, Albany, NY, 12208","75.31-1-34",42.65152425,-73.81100409213343
"109 ORLANDO AVE, Albany, NY, 12203","64.47-1-64",42.6675104,-73.81568232936894
"147 THIRD AVE, Albany, NY, 12202","76.56-4-53",42.64151355,-73.76463163102623
"93 DELAWARE ST, Albany, NY, 12202","76.56-4-20",42.64201465,-73.76400075000001
"229 ELM ST, Albany, NY, 12202","76.32-5-57",42.6503213,-73.7660573
"334 THIRD ST, Albany, NY, 12206","65.56-2-12",42.6659755,-73.76499986961664
"111 VAN SCHOICK AVE, Albany, NY, 12209","75.41-2-15",42.649000650000005,-73.80159475150407
"499 SECOND ST, Albany, NY, 12206","65.47-1-41",42.6687729,-73.7710251
"26 KAKELY ST, Albany, NY, 12208","64.72-2-9",42.66075755,-73.80675653055127
"56 WESTERLO ST, Albany, NY, 12202","76.58-1-43.-25",42.6438065,-73.7542592
"30 KAKELY ST, Albany, NY, 12208","64.72-2-7",42.6609738,-73.8065506395031
"13 SARD RD, Albany, NY, 12209","75.67-2-31",42.6404373,-73.7885772
"31 LINDBERGH AVE, Albany, NY, 12204","54.84-2-34",42.677446950000004,-73.73788802348577
"122 MOUNT HOPE DR, Albany, NY, 12202","87.23-2-13",42.631475800000004,-73.76790538358927
"349 MOUNTAIN ST, Albany, NY, 12209","76.77-1-30",42.6360721,-73.78246304999999
"97 DAYTONA AVE, Albany, NY, 12203","64.47-1-30",42.6684801,-73.81325614126472
"28 DAYTONA AVE, Albany, NY, 12203","64.39-1-66",42.670868,-73.81137268745039
"190 HACKETT BLVD, Albany, NY, 12209","75.42-1-74",42.6492826,-73.7970218
"20 VINE ST, Albany, NY, 12203","64.38-2-65",42.67112325,-73.8206321
"22 JOELSON CT, Albany, NY, 12209","75.50-2-56",42.6458924,-73.79382170940903
"124 SHAKER RD, Albany, NY, 12211","65.7-2-8",42.67517285,-73.75457293798283
"35 LAWN AVE, Albany, NY, 12204","65.28-1-41",42.676260150000005,-73.73898399275498
"25A PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2511",42.69662555,-73.85807831900381
"25A PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2518",42.69662555,-73.85807831900381
"25B PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2521",42.696285,-73.85788857169572
"25B PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2524",42.696285,-73.85788857169572
"25B PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2526",42.696285,-73.85788857169572
"25C PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2531",42.6960096,-73.85741959999999
"25C PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2534",42.6960096,-73.85741959999999
"25C PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2535",42.6960096,-73.85741959999999
"25D PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2548",42.695926299999996,-73.85695207850245
"25E PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2556",42.69633825,-73.85742801642921
"25E PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2558",42.69633825,-73.85742801642921
"58 SPRING ST, Albany, NY, 12210","65.80-3-19",42.6565003,-73.7643312
"25A PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2512",42.69662555,-73.85807831900381
"25A PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2517",42.69662555,-73.85807831900381
